Segmenter	States	P(stay)	P(skip)
scrappieR9	8	0.22	0.05
scrappieR9	16	0.22	0.045
scrappieR9	32	0.26	0
scrappieR9	64	0.32	0
scrappieR9	96	0.3	0.025
scrappieR9	128	0.315	0.005
scrappieR9	192	0.315	0
scrappieR9	256	0.305	0
scrappieR10	8	0.025	0.025
scrappieR10	16	0.035	0.025
scrappieR10	32	0.03	0.025
scrappieR10	64	0.05	0
scrappieR10	96	0.04	0.01
scrappieR10	128	0.045	0.065
scrappieR10	192	0.025	0.005
scrappieR10	256	0.045	0.01
campolina	8	0	0.055
campolina	16	0.01	0
campolina	32	0.025	0.02
campolina	64	0.025	0.035
campolina	96	0.025	0.05
campolina	128	0.045	0.025
campolina	192	0.025	0
campolina	256	0.02	0.03